# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
9.467364049793528923e-04;2.027298781097788740e-03;1.143090539187528905e-02;-4.386488802081463518e+02;-2.805442525537037000e+03;5.080173407800298883e+05;5.216076551322104206e+04
-1.083343381637313181e-03;4.716615192633086848e-04;3.935446794473111687e-02;7.740259271394842244e+02;-6.735961944064727902e+01;5.105033898299118155e+05;5.267100211409189797e+04
-3.190204358222272028e-03;4.177488464938052394e-04;7.022574365018660614e-02;2.610286711137982820e+03;1.643288277896236650e+03;5.130707990164764924e+05;5.320391690097162063e+04
-5.410220760252567804e-04;2.354867240341618098e-04;-2.527472084296156912e-02;8.320247708767597032e+02;6.345526133430336131e+02;5.052534840345488628e+05;5.159335992834077479e+04
-4.445364428485471323e-03;1.019760227044850566e-03;2.122921181316183084e-02;3.873287591095496737e+03;-3.363152328714339546e+03;5.092246175598438713e+05;5.241265545900992583e+04
-4.762713169597258128e-03;-4.166002357245239822e-04;-5.417363252123561651e-02;4.635498878686377793e+03;-9.576605885934786784e+02;5.028092415265326272e+05;5.109969448183972418e+04
1.265225019123956843e-04;-2.004193666620169689e-03;1.111655309485513020e-02;-6.303345185150781163e+02;1.720300645334824139e+03;5.081379557970032911e+05;5.218458488253740506e+04
-1.608336626956003313e-03;-1.889623235900876955e-03;-2.495977236618102460e-02;1.564420697485566052e+03;-7.199291558454555684e+01;5.050747163473312394e+05;5.155713163336650177e+04
2.387315472373956020e-03;1.411828561548358332e-03;-1.819681082839972458e-02;-3.121876701500857052e+03;-3.001395314687312293e+03;5.058940456693814485e+05;5.172783173221346806e+04
1.134781643136501374e-03;-9.136606508983983891e-04;2.535786868836918673e-02;-1.600702434613315745e+03;-8.880964146416221183e+02;5.094916508085682872e+05;5.246299310082838929e+04
-2.197070106242843702e-03;5.455888922347626978e-04;5.812399942586963381e-02;3.166918094758816551e+03;3.981014012900344028e+02;5.122507199740267242e+05;5.303411563931620913e+04
-2.206288206994600539e-03;-1.451798237337742362e-03;4.004242306924402084e-02;2.390711549123714576e+03;1.687301102686491959e+03;5.105664175157717546e+05;5.268561711021840165e+04
1.230517437957463029e-03;1.913295580706330715e-05;1.311549899919329555e-02;-1.134887656724222325e+03;-1.708198446259799994e+03;5.082917863760684850e+05;5.221635695608197420e+04
-1.155590841399883753e-03;1.027266300406774041e-04;-2.219253377167212243e-02;2.704223851823792302e+03;1.839197312379777486e+03;5.054522486931502935e+05;5.163590127594502701e+04
-2.724684107461695145e-03;-4.448034428622213042e-04;8.809537352090317242e-02;2.423770973149626116e+03;-1.617489228612157376e+03;5.150687545517385006e+05;5.361886602517158462e+04
-4.044988623659789080e-04;2.143211281640119384e-04;1.317296981732925809e-01;2.139638550706692399e+01;6.259943198300514950e+02;5.186664484206672059e+05;5.436886397907895298e+04
2.072790423382292468e-03;4.186551291601543420e-03;-4.188681929125266656e-02;-2.100597962650118461e+03;-7.258326554626122743e+03;5.033815692017577239e+05;5.122309099071399396e+04
5.879309836032821195e-04;-2.652202083438796008e-03;1.375315425703299045e-02;8.292375296982726240e+02;5.923981222148676352e+03;5.082487862124277744e+05;5.221390420375977556e+04
6.934633637200222651e-04;-5.339182603291257488e-04;-5.218824052310634676e-02;3.612329781282298313e+02;1.508008725182445914e+03;5.020147875864388188e+05;5.093431605486269837e+04
-4.891094461703672167e-03;-2.278141085331265511e-03;5.796546018952365015e-02;4.768303834781221667e+03;2.785629801478918125e+03;5.118618296203644131e+05;5.295772891586305923e+04
-4.051646196262613693e-03;1.565164695486181631e-03;-1.147045878943208502e-02;4.398900929918342626e+03;-2.229769114963981337e+03;5.064777127691591741e+05;5.184837739270110615e+04
1.330821189632813836e-03;1.216765579025716774e-03;-7.069966263096091885e-02;-1.056074126589380739e+03;-1.796058747851882117e+03;5.011617847576180939e+05;5.076176516092297243e+04
-2.075310651610538012e-04;3.421815214501398774e-03;-1.450624592015025034e-02;2.219358957906842988e+01;-5.055082931398201254e+03;5.057931119454219588e+05;5.170856856649700057e+04
6.446814817699674828e-04;-1.239570475089167611e-03;-7.227722976939422728e-02;-4.996716640669027925e+02;2.256457013768253091e+03;5.010121683251089416e+05;5.073166359017993818e+04
-1.760335858928329528e-03;9.313733635755300222e-04;5.029251191334155324e-02;1.018140458468784573e+03;6.166029388639490207e+02;5.113574404354890576e+05;5.284754618494525494e+04
-9.146202061085133891e-04;9.619057947667762490e-04;3.694980471642815567e-02;-2.807014530173459548e+02;-3.031168167119285954e+03;5.106661745365683455e+05;5.270634874278571078e+04
-3.434729202274777087e-04;1.333059028134816462e-03;-7.444106719636520153e-02;7.894104302154754578e+02;-2.952073862737882337e+03;5.010196420626801555e+05;5.073398485961707047e+04
-2.815579161880199153e-04;1.544692355123880459e-03;4.598966234327517277e-02;4.884861730989227908e+02;-2.739066413826201824e+03;5.111625885313282488e+05;5.280855729741031246e+04
-2.059830602371125110e-03;-7.672725100130319649e-05;-8.190375565453242301e-02;1.441189145300117843e+03;-1.875988262496789275e+03;5.000775259758147877e+05;5.054261504332574987e+04
9.838604144673174842e-04;3.207698691383961947e-03;-4.491490170357383821e-02;-5.475143807216078358e+02;-4.012939564143619009e+03;5.030190982207489433e+05;5.114114147497106751e+04
