# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
7.145893886813327366e-04;-1.234144800534685586e-03;-3.214142156157054342e-02;2.733696980357248094e+02;2.868796428981430608e+02;5.044891326447895844e+05;5.143718745219244738e+04
2.013147697128762556e-03;-1.614468042583489882e-03;5.119448845586715979e-02;8.741140569602140431e+01;-5.159433265925068781e+02;5.118224821315794834e+05;5.294348022719688015e+04
-6.046260261941532183e-04;9.337029517318756137e-04;5.599226003927423867e-02;-5.271935874250255694e+01;2.074144075289639488e+02;5.125271770754427998e+05;5.308932319040401489e+04
-7.399351827601163356e-05;-1.602481161464520141e-03;3.539261425239224879e-02;4.530442388658847364e+01;-3.036281961889864434e+01;5.102786062596649863e+05;5.262450710745035030e+04
-3.064700854321241553e-05;-1.101064653785274955e-03;-3.324300479659911961e-02;7.163567401491670239e+01;-1.079485510759245699e+02;5.043252835596578079e+05;5.140375278959478601e+04
-1.705304202168904382e-03;3.414033212370352877e-04;-3.295860695781967220e-02;3.414465752971871666e+02;6.056591029668842339e+02;5.040621365577946999e+05;5.135021816236718587e+04
-5.865908099986547443e-04;-5.464541547892631497e-04;-1.295346061695103190e-01;-4.752666436088649107e+02;-3.143066865263149339e+02;4.961647577913137502e+05;4.975373795783212699e+04
6.509020516624058764e-04;5.906056597757263632e-04;6.195188398073359082e-02;5.514686299084769416e+02;-5.885314569166554932e+00;5.127113422894055257e+05;5.312753518153475306e+04
5.031947479592733955e-04;7.202413885522347030e-04;1.191079624945349906e-02;6.685464785720309067e+01;-4.919856935922753109e+02;5.080677376937274821e+05;5.216953500618651742e+04
-9.514433650094995722e-04;-2.877568612529564585e-05;-4.036991378427558924e-02;1.181235883263879487e+03;5.232683475057907572e+02;5.038042514508643071e+05;5.129792838817475422e+04
8.984101926278471439e-04;-6.634842517126390057e-04;-1.892576329309418048e-01;-4.565465529084057721e+02;-5.875956097361057573e+02;4.907882228454057476e+05;4.868134610670481197e+04
-7.957146162142104007e-04;9.929889634966825984e-04;-2.165054982862807051e-02;3.592496061088060344e+01;-2.351589660124975865e+02;5.058552139771158108e+05;5.171611260633071652e+04
-1.586790816920769995e-03;9.823319952850181631e-04;2.652249552569629215e-02;7.015470127715154547e+01;-4.053332441888348967e+02;5.095260345677242731e+05;5.246943128440716828e+04
-4.685379445507999239e-04;-7.016185115442727513e-04;-2.709645154112015966e-02;5.054703326617892003e+02;3.771840640295891944e+02;5.048410312656317838e+05;5.150901952369220817e+04
9.819949914701624032e-04;-4.122061365406524589e-04;-6.864632625468519711e-02;-1.109951998124615784e+03;-7.125385686226534290e+02;5.013870154154068441e+05;5.080687527726082044e+04
4.256252363393134405e-05;-1.790989243355003242e-03;1.094717596922267638e-01;-6.822154542714997660e+02;-2.119971678024309085e+02;5.165724071986913332e+05;5.393076175443409011e+04
1.132519540567377119e-03;-1.107137947818045629e-03;8.315966267309429522e-04;6.964141232021540873e+01;-2.747015667625441324e+02;5.073763915187562234e+05;5.202762019550459081e+04
5.597139708410084824e-04;3.261068250548785274e-04;1.051678003298968725e-02;-4.421873922663135659e+02;3.248357558568364993e+02;5.084535274646155885e+05;5.224880354885475390e+04
1.866133797235243171e-03;7.862790925116410054e-04;5.848857041372312188e-02;8.448732544980169905e+02;-4.070596422860837720e+02;5.122350841390672722e+05;5.302899696251296700e+04
-1.086727394718940698e-03;-4.387240914143865681e-04;-5.613981689703095856e-02;1.529348334828065390e+02;-2.007538444166109741e+02;5.024102251980034052e+05;5.101411582698803250e+04
-6.871864133886533901e-04;-6.497509517168510978e-04;-2.957299037597917180e-02;-9.706164733836750713e+00;-7.192517878039114976e+02;5.043527888366092229e+05;5.140946111578895216e+04
-1.291735332790689989e-03;-4.046815994548417735e-04;-6.140185535695974473e-02;7.648038213833843884e+02;6.176182909519428677e+02;5.016683232135190046e+05;5.086374591365602828e+04
-9.891646963802545184e-04;-1.221902681397296631e-03;-4.898408307564918601e-02;-1.215917200085986849e+02;-4.227062131265696507e+02;5.029615635724390158e+05;5.112616790035025042e+04
5.118238733066948721e-04;-3.780296601989548670e-06;-7.059319033863765969e-02;-2.648556312631013725e+02;-3.628893872484269423e+01;5.009268485071102041e+05;5.071332169702398096e+04
-2.442472258124142939e-04;-1.644531975842001247e-03;4.722540220527655236e-02;-2.353803384994727992e+02;4.328837555739387426e+02;5.114626484460255597e+05;5.286905701486106409e+04
